model,stratum,n,token_type,saliency_share,enrichment,token_count
Chem-R,all,16103,SMILES_frag,0.133568,2.4759,440201
Chem-R,all,16103,FG_word,0.046692,0.7748,491749
Chem-R,all,16103,position_digit,0.032085,1.5995,163680
Chem-R,all,16103,other_word,0.413153,0.7748,4350875
Chem-R,all,16103,punct,0.368946,1.1264,2672703
Chem-R,all,16103,space,0.005556,1.1175,40572
Chem-R,er0,6541,SMILES_frag,0.088395,2.225,129437
Chem-R,er0,6541,FG_word,0.044983,0.8042,182246
Chem-R,er0,6541,position_digit,0.03788,1.5715,78537
Chem-R,er0,6541,other_word,0.423651,0.8005,1724390
Chem-R,er0,6541,punct,0.397257,1.1558,1119856
Chem-R,er0,6541,space,0.007834,1.0782,23674
Chem-R,erpos,9562,SMILES_frag,0.16447,2.5942,310764
Chem-R,erpos,9562,FG_word,0.047861,0.758,309503
Chem-R,erpos,9562,position_digit,0.02812,1.6189,85143
Chem-R,erpos,9562,other_word,0.405972,0.7576,2626485
Chem-R,erpos,9562,punct,0.34958,1.1035,1552847
Chem-R,erpos,9562,space,0.003998,1.1597,16898
Chem-R-Faithful,all,16100,SMILES_frag,0.177877,3.2148,468388
Chem-R-Faithful,all,16100,FG_word,0.046373,0.7145,549452
Chem-R-Faithful,all,16100,position_digit,0.03123,1.655,159738
Chem-R-Faithful,all,16100,other_word,0.393222,0.7318,4548986
Chem-R-Faithful,all,16100,punct,0.347677,1.0874,2706554
Chem-R-Faithful,all,16100,space,0.003621,0.9532,32153
Chem-R-Faithful,er0,14176,SMILES_frag,0.180453,3.198,419678
Chem-R-Faithful,er0,14176,FG_word,0.046226,0.7106,483858
Chem-R-Faithful,er0,14176,position_digit,0.030337,1.6483,136889
Chem-R-Faithful,er0,14176,other_word,0.39362,0.7329,3994352
Chem-R-Faithful,er0,14176,punct,0.345822,1.0825,2375992
Chem-R-Faithful,er0,14176,space,0.003542,0.9861,26712
Chem-R-Faithful,erpos,1924,SMILES_frag,0.158891,3.3526,48710
Chem-R-Faithful,erpos,1924,FG_word,0.047459,0.7436,65594
Chem-R-Faithful,erpos,1924,position_digit,0.037807,1.7006,22849
Chem-R-Faithful,erpos,1924,other_word,0.390293,0.7232,554634
Chem-R-Faithful,erpos,1924,punct,0.361348,1.1235,330562
Chem-R-Faithful,erpos,1924,space,0.004202,0.7937,5441
ChemDFM-R,all,16064,SMILES_frag,0.010056,1.2373,24149
ChemDFM-R,all,16064,FG_word,0.053248,0.859,184180
ChemDFM-R,all,16064,position_digit,0.006387,1.3698,13854
ChemDFM-R,all,16064,other_word,0.532353,0.8094,1954168
ChemDFM-R,all,16064,punct,0.39538,1.488,789511
ChemDFM-R,all,16064,space,0.002576,1.4206,5388
ChemDFM-R,er0,10098,SMILES_frag,0.010122,1.2761,14549
ChemDFM-R,er0,10098,FG_word,0.048669,0.8309,107441
ChemDFM-R,er0,10098,position_digit,0.006983,1.2771,10030
ChemDFM-R,er0,10098,other_word,0.531191,0.8061,1208774
ChemDFM-R,er0,10098,punct,0.400155,1.4992,489571
ChemDFM-R,er0,10098,space,0.00288,1.3588,3888
ChemDFM-R,erpos,5966,SMILES_frag,0.009945,1.1778,9600
ChemDFM-R,erpos,5966,FG_word,0.060999,0.9038,76739
ChemDFM-R,erpos,5966,position_digit,0.005378,1.5989,3824
ChemDFM-R,erpos,5966,other_word,0.534319,0.815,745394
ChemDFM-R,erpos,5966,punct,0.387298,1.4681,299940
ChemDFM-R,erpos,5966,space,0.002061,1.5625,1500
ether-0,all,1500,SMILES_frag,0.180672,1.5985,133915
ether-0,all,1500,FG_word,0.018997,0.5868,38357
ether-0,all,1500,position_digit,0.046132,0.7204,75872
ether-0,all,1500,other_word,0.291362,0.7936,435008
ether-0,all,1500,punct,0.444143,1.0949,480625
ether-0,all,1500,space,0.018694,1.0542,21009
ether-0,er0,568,SMILES_frag,0.19649,1.43,52382
ether-0,er0,568,FG_word,0.016143,0.591,10413
ether-0,er0,568,position_digit,0.045425,0.6731,25729
ether-0,er0,568,other_word,0.2733,0.829,125676
ether-0,er0,568,punct,0.440355,1.0824,155102
ether-0,er0,568,space,0.028287,0.9042,11926
ether-0,erpos,932,SMILES_frag,0.171032,1.6856,81533
ether-0,erpos,932,FG_word,0.020737,0.5963,27944
ether-0,erpos,932,position_digit,0.046562,0.7462,50143
ether-0,erpos,932,other_word,0.302371,0.7855,309332
ether-0,erpos,932,punct,0.446451,1.1021,325523
ether-0,erpos,932,space,0.012847,1.1366,9083
